community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
高安路99号,衡山路,衡山路,Null,2.3,Null,1,2,35,Null,上海城建（集团）公司,31.2062,121.454,{高安路99号},5011000010575,Null
壹号公馆,镇宁路,镇宁路,6,0,Null,4,3,0,Null,暂无信息,31.2251,121.441,{东诸安浜路130号},5011000020222,Null
广西北路200号,南京东路,南京东路,42,0,Null,43,2,0,46983,暂无信息,31.2386,121.485,{广西北路200号},5011000006984,0.282267193065
蓝色收获,山阳,山阳,9,2.3,Null,4246,184,40,9734,暂无信息,30.7454,121.366,"{板桥路888弄,板桥东路888弄,龙宇路999弄,板桥东路1200弄}",5011000013066,0.00990570160531
锦馨公寓,田林,田林,12,0,Null,88,2,0,57458,锦江房地产公司,31.1963,121.424,{古井路165号},5011000012703,0.238321238212
尼盛滨江城,木渎,木渎,1,2.5,板楼,1486,18,40,13477,暂无信息,31.2574,120.565,{宝带西路2998号},239821887922219,0.254801050014
彰武大楼,鞍山,鞍山,27,1.1,Null,285,2,15,38210,彰武开发有限公司,31.2867,121.516,{彰武路72号},5011000013825,0.193776941133
航西新村,留园西园,留园西园,Null,0,板楼/平房,138,6,0,12613,暂无信息,31.3253,120.601,{仁安场与仁安街交叉口东北},239821887922683,0.154526668147
新海农场,崇明其它,崇明其它,34,1.3,板楼,10,4,24,7118,暂无信息,31.8246,121.301,{新海北路200号},5011000003749,0.300579199194
建宁大厦,中山公园,中山公园,25,1,Null,191,2,32,49225,上海市建宁房地产开发公司,31.2229,121.43,{定西路1310弄10号},5011000016959,0.278871038275
灵石小区,甘泉宜川,甘泉宜川,22,1.8,Null,786,45,35,45132,西部集团,31.2717,121.43,{灵石路1620弄2-51号},5011000016972,0.33111375068
上钞银杏苑,长风,长风,20,2,Null,255,22,20,54419,上钞集团,31.2311,121.399,{中江路1067弄},5011102208013,0.209831893101
蒋家桥路16号,曲阳,曲阳,26,4,Null,15,2,25,46240,虹仪,31.2786,121.504,{蒋家桥路16号},5011102208625,0.282275175453
中澳广场,木渎,木渎,Null,2.5,板楼/平房,579,2,26,8373,暂无信息,31.2608,120.551,{珠江路与苏福路交界},239821887922982,0.275097342136
复兴中路1317弄,建国西路,建国西路,81,0,Null,8,2,0,82326,暂无信息,31.2178,121.46,{复兴中路1317弄},5011000003279,0.282283985631
天通庵路453号,西藏北路,西藏北路,Null,0,Null,2,2,0,36213,暂无信息,31.2671,121.482,{天通庵路453号A区},509821540057173,0.282281226188
国际服装城兰菊坊,元和,元和,Null,0,板楼/平房,403,8,0,Null,暂无信息,31.3857,120.645,{春申湖中路299号},239977475104815,Null
盈标花园,碧云,碧云,19,2.3,Null,190,14,35,52573,上海盈标花园酒店公寓有限公司,31.2464,121.6,{红枫路450弄},5011000012627,0.523821204472
蓬莱路285弄,豫园,豫园,31,1.2,Null,54,4,36,70188,南陆房地产有限公司,31.2232,121.496,{蓬莱路285弄},5011000007193,0.28229364426
御景龙庭,金山,金山,7,1.49,板楼,1753,196,35,10375,上海丰合置业有限公司,30.7381,121.329,{学府路818弄},5011000012069,0.0239176170967
江阴路111弄,人民广场,人民广场,29,0,Null,2,2,0,120490,暂无信息,31.2355,121.475,{江阴路111弄},5011000006166,0.282281094941
笋心路290号,新场,新场,Null,0,Null,10,2,0,Null,暂无信息,31.0279,121.646,{笋心路290号},5011000004506,Null
江绣苑,川沙,川沙,4,1.8,Null,14,15,35,22819,上海玉宇房地产开发商有限公司,31.1728,121.742,{海霞路135弄},5011102207299,0.192472458742
淮海中路2000号,镇宁路,镇宁路,86,0,Null,6,2,0,109311,暂无信息,31.2097,121.443,{淮海中路2000号},5011000006673,0.28228410291
环镇北路323弄,上大,上大,18,0,Null,120,13,0,34837,上海乾溪置业总公司,31.3143,121.416,{环镇北路323弄},5011000001582,0.282262623254
中华新路485弄,西藏北路,西藏北路,23,0,Null,98,2,0,45136,北方集团,31.26,121.473,{中华新路485弄},5011000006079,0.282250037229
浦三路601弄,南码头,南码头,23,0,Null,208,17,0,44784,汇虹房地产,31.195,121.523,{浦三路601弄},5011000018883,0.282253690236
盛桥二村,月浦,月浦,31,3.2,Null,948,65,30,18119,新月开发商,31.4581,121.409,{盛桥二村},5011000010268,0.232862789385
虹宸易居,北外滩,北外滩,13,3.9,Null,121,4,26,62632,上海宝宸集团,31.2617,121.51,{公平路469弄},5011000014487,0.281198676331
东碧林湾,七宝,七宝,8,1.63,Null,190,8,36,64286,万兆房地产开发商,31.1452,121.368,{七莘路1890弄},5011000013269,0.282280431433
苏美中心,苏苑,苏苑,Null,1,Null,144,2,12,10334,暂无信息,31.2729,120.636,{东吴北路68},239821887922797,0.202953787518
盛家宅,赵巷,赵巷,18,0,Null,5,7,0,13750,暂无信息,31.1631,121.228,{凤星路盛家宅13号},5011000010926,0.282298456261
