VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-02-01 08:20:50,2016-02-01 08:38:29,N,1,-73.937820434570313,40.818473815917969,-73.960884094238281,40.780918121337891,1,3.00,14,0,0.5,0,0,,0.3,14.8,2,1
1,2016-02-01 08:20:45,2016-02-01 08:37:59,N,1,-73.969268798828125,40.695075988769531,-74.002189636230469,40.718986511230469,1,2.80,14.5,0,0.5,2.5,0,,0.3,17.8,1,1
1,2016-02-01 08:20:38,2016-02-01 08:26:47,N,1,-73.989723205566406,40.701541900634766,-74.002601623535156,40.714241027832031,1,1.70,7.5,0,0.5,1.65,0,,0.3,9.95,1,1
1,2016-02-01 08:20:27,2016-02-01 08:43:33,N,1,-73.952491760253906,40.818988800048828,-73.975883483886719,40.776504516601563,1,3.40,16.5,0,0.5,5.15,0,,0.3,22.45,1,1
1,2016-02-01 08:20:14,2016-02-01 08:25:16,N,1,-73.949539184570312,40.822616577148438,-73.946144104003906,40.813823699951172,1,.80,5.5,0,0.5,0,0,,0.3,6.3,2,1
1,2016-02-01 08:20:14,2016-02-01 08:43:39,N,1,-73.965034484863281,40.806663513183594,-73.966285705566406,40.807319641113281,1,3.20,16.5,0,0.5,3.45,0,,0.3,20.75,1,1
1,2016-02-01 08:20:09,2016-02-01 08:35:33,N,1,-73.98681640625,40.702350616455078,-74.000434875488281,40.732463836669922,2,3.10,13,0,0.5,3.45,0,,0.3,17.25,1,1
1,2016-02-01 08:20:09,2016-02-01 08:50:16,N,1,-73.976821899414063,40.677108764648438,-73.993370056152344,40.724861145019531,1,3.60,21,0,0.5,4.35,0,,0.3,26.15,1,1
1,2016-02-01 08:20:03,2016-02-01 08:45:48,N,1,-73.94964599609375,40.680580139160156,-73.98724365234375,40.695636749267578,1,3.10,17,0,0.5,0,0,,0.3,17.8,2,1
1,2016-02-01 08:20:01,2016-02-01 08:44:54,N,1,-73.943229675292969,40.785140991210937,-74.011116027832031,40.724460601806641,1,9.40,28.5,0,0.5,0,0,,0.3,29.3,2,1
1,2016-02-01 08:20:01,2016-02-01 08:31:32,N,1,-73.99078369140625,40.69476318359375,-73.984024047851563,40.677005767822266,1,1.80,9.5,0,0.5,2.05,0,,0.3,12.35,1,1
1,2016-02-01 08:19:57,2016-02-01 08:41:25,N,1,-73.994430541992188,40.696369171142578,-73.870674133300781,40.773895263671875,1,10.10,29.5,0,0.5,6.05,0,,0.3,36.35,1,1
1,2016-02-01 08:19:56,2016-02-01 08:20:23,N,5,-73.978843688964844,40.603927612304687,-73.978836059570313,40.603927612304687,1,.00,32,0,0,0,0,,0.3,32.3,1,1
1,2016-02-01 08:19:56,2016-02-01 08:24:59,N,1,-73.950035095214844,40.674274444580078,-73.956100463867188,40.67047119140625,1,.50,5,0,0.5,0,0,,0.3,5.8,2,1
1,2016-02-01 08:19:52,2016-02-01 08:31:49,N,1,-73.9666748046875,40.8043212890625,-73.946243286132813,40.793964385986328,1,1.40,9,0,0.5,1.95,0,,0.3,11.75,1,1
1,2016-02-01 08:19:48,2016-02-01 09:01:53,N,1,-73.995864868164063,40.673851013183594,-73.996383666992188,40.755992889404297,1,6.50,29,0,0.5,5.95,0,,0.3,35.75,1,1
1,2016-02-01 08:19:28,2016-02-01 08:24:07,N,1,-73.948638916015625,40.794895172119141,-73.942405700683594,40.797443389892578,2,.70,5,0,0.5,1.15,0,,0.3,6.95,1,1
1,2016-02-01 08:19:23,2016-02-01 08:41:01,N,1,-73.98370361328125,40.694744110107422,-73.971763610839844,40.746124267578125,1,5.80,20.5,0,0.5,2,0,,0.3,23.3,1,1
1,2016-02-01 08:19:21,2016-02-01 08:33:20,N,1,-73.963485717773438,40.695228576660156,-74.007904052734375,40.706501007080078,1,3.60,13.5,0,0.5,2.86,0,,0.3,17.16,1,1
1,2016-02-01 08:19:25,2016-02-01 08:21:22,N,1,-73.943031311035156,40.747150421142578,-73.935821533203125,40.743213653564453,1,.60,4,0,0.5,0,0,,0.3,4.8,2,1
1,2016-02-01 08:19:17,2016-02-01 08:26:32,N,1,-73.945266723632812,40.822765350341797,-73.963233947753906,40.810596466064453,1,1.90,8.5,0,0.5,0,0,,0.3,9.3,2,1
1,2016-02-01 08:19:07,2016-02-01 08:29:12,Y,1,-73.988685607910156,40.703010559082031,-73.991455078125,40.690139770507812,1,1.30,8,0,0.5,2.2,0,,0.3,11,1,1
1,2016-02-01 08:19:07,2016-02-01 08:48:23,N,1,-73.876319885253906,40.748363494873047,-73.785400390625,40.712455749511719,1,7.00,26.5,0,0.5,0,0,,0.3,27.3,2,1
1,2016-02-01 08:19:05,2016-02-01 08:38:13,N,1,-73.95220947265625,40.671802520751953,-73.9779052734375,40.670188903808594,1,1.90,13,0,0.5,0,0,,0.3,13.8,2,1
1,2016-02-01 08:19:28,2016-02-01 08:38:09,N,1,-73.990592956542969,40.702621459960938,-74.002098083496094,40.734878540039063,1,3.50,15,0,0.5,3.15,0,,0.3,18.95,1,1
1,2016-02-01 08:18:52,2016-02-01 08:27:30,N,1,-73.986824035644531,40.701576232910156,-73.990104675292969,40.684993743896484,2,1.60,8,0,0.5,1,0,,0.3,9.8,1,1
1,2016-02-01 08:18:51,2016-02-01 08:42:05,N,1,-73.990928649902344,40.702587127685547,-73.986846923828125,40.742542266845703,1,5.60,20.5,0,0.5,4,0,,0.3,25.3,1,1
1,2016-02-01 08:18:44,2016-02-01 08:47:14,N,1,-73.959953308105469,40.717823028564453,-74.005012512207031,40.718685150146484,1,5.00,21,0,0.5,1.5,0,,0.3,23.3,1,1
1,2016-02-01 08:18:43,2016-02-01 08:22:30,N,1,-73.945587158203125,40.790332794189453,-73.938087463378906,40.796504974365234,1,.80,5,0,0.5,1.15,0,,0.3,6.95,1,1
1,2016-02-01 08:18:38,2016-02-01 08:25:11,N,1,-73.949005126953125,40.677577972412109,-73.959182739257813,40.676612854003906,1,.60,6,0,0.5,0,0,,0.3,6.8,2,1
1,2016-02-01 08:18:35,2016-02-01 08:37:19,N,1,-73.843887329101563,40.721832275390625,-73.905937194824219,40.734146118164063,1,3.80,16,0,0.5,0,0,,0.3,16.8,2,1
1,2016-02-01 08:18:15,2016-02-01 08:22:30,N,1,-73.950119018554687,40.680423736572266,-73.957527160644531,40.682502746582031,1,.50,4.5,0,0.5,0,0,,0.3,5.3,2,1
1,2016-02-01 08:18:06,2016-02-01 08:47:43,N,1,-73.932319641113281,40.679485321044922,-73.979095458984375,40.668251037597656,1,3.90,19.5,0,0.5,0,0,,0.3,20.3,2,1
1,2016-02-01 08:18:02,2016-02-01 08:29:34,N,1,0,0,-74.01422119140625,40.706226348876953,1,2.30,10.5,0,0.5,2.25,0,,0.3,13.55,1,1
1,2016-02-01 08:17:53,2016-02-01 08:42:17,N,1,-73.995849609375,40.691444396972656,-73.992103576660156,40.742530822753906,1,4.90,19.5,0,0.5,4.05,0,,0.3,24.35,1,1
1,2016-02-01 08:17:27,2016-02-01 08:33:40,N,1,-73.957534790039063,40.811859130859375,-73.968193054199219,40.789806365966797,1,1.90,11.5,0,0.5,1.6,0,,0.3,13.9,1,1
1,2016-02-01 08:17:21,2016-02-01 08:26:20,N,1,-74.001998901367188,40.68408203125,-73.989036560058594,40.695457458496094,1,1.30,7.5,0,0.5,0,0,,0.3,8.3,2,1
1,2016-02-01 08:17:18,2016-02-01 08:32:45,N,1,-73.925880432128906,40.670360565185547,-73.902976989746094,40.645618438720703,1,2.70,12.5,0,0.5,0,0,,0.3,13.3,2,1
1,2016-02-01 08:17:15,2016-02-01 08:27:56,N,1,-73.95965576171875,40.655269622802734,-73.9686279296875,40.671993255615234,2,1.30,8,0,0.5,0,0,,0.3,8.8,2,1
1,2016-02-01 08:17:16,2016-02-01 09:00:46,N,1,-73.966720581054687,40.804351806640625,-74.013595581054688,40.714908599853516,1,7.30,31,0,0.5,0,0,,0.3,31.8,2,1
1,2016-02-01 08:17:19,2016-02-01 09:07:36,N,1,-73.941810607910156,40.813114166259766,-74.01434326171875,40.704360961914063,1,10.20,37,0,0.5,7.55,0,,0.3,45.35,1,1
1,2016-02-01 08:17:08,2016-02-01 08:27:14,N,1,-73.956291198730469,40.687057495117188,-73.965240478515625,40.685546875,1,.60,7.5,0,0.5,2.45,0,,0.3,10.75,1,1
1,2016-02-01 08:17:11,2016-02-01 08:27:05,N,1,-73.906517028808594,40.753383636474609,-73.94281005859375,40.747226715087891,1,2.00,9.5,0,0.5,2.05,0,,0.3,12.35,1,1
1,2016-02-01 08:16:54,2016-02-01 08:29:01,N,1,-73.894287109375,40.885334014892578,-73.875862121582031,40.872112274169922,1,1.70,9.5,0,0.5,0,0,,0.3,10.3,2,1
1,2016-02-01 08:16:49,2016-02-01 08:29:31,N,1,-73.978042602539063,40.685123443603516,-73.986396789550781,40.704399108886719,1,1.70,9.5,0,0.5,2.55,0,,0.3,12.85,1,1
1,2016-02-01 08:16:43,2016-02-01 08:32:37,N,1,-73.986854553222656,40.702362060546875,-73.983222961425781,40.685523986816406,1,1.50,11,0,0.5,2.35,0,,0.3,14.15,1,1
1,2016-02-01 08:16:40,2016-02-01 08:23:18,N,1,-73.977943420410156,40.693408966064453,-73.9769287109375,40.685184478759766,1,1.00,6,0,0.5,0.2,0,,0.3,7,1,1
1,2016-02-01 08:16:24,2016-02-01 08:24:14,N,1,-73.934585571289062,40.852348327636719,-73.93682861328125,40.839931488037109,1,1.00,7,0,0.5,1.95,0,,0.3,9.75,1,1
1,2016-02-01 08:16:21,2016-02-01 08:27:39,N,1,-73.956710815429687,40.802761077880859,-73.952873229980469,40.791854858398437,1,1.10,8.5,0,0.5,0,0,,0.3,9.3,2,1
1,2016-02-01 08:16:06,2016-02-01 08:19:49,N,1,-73.946037292480469,40.832729339599609,-73.956825256347656,40.819141387939453,1,1.10,5.5,0,0.5,0,0,,0.3,6.3,1,1
1,2016-02-01 08:16:01,2016-02-01 08:21:25,N,1,-73.953941345214844,40.587322235107422,-73.941581726074219,40.584224700927734,1,.90,5.5,0,0.5,1.85,0,,0.3,8.15,1,1
1,2016-02-01 08:15:55,2016-02-01 08:46:07,N,1,-73.952079772949219,40.716972351074219,-74.004615783691406,40.725364685058594,1,3.70,20,0,0.5,4.15,0,,0.3,24.95,1,1
1,2016-02-01 08:15:51,2016-02-01 08:28:27,N,1,-73.949485778808594,40.785362243652344,-73.968803405761719,40.790946960449219,1,1.30,9.5,0,0.5,0.08,0,,0.3,10.38,1,1
1,2016-02-01 08:15:53,2016-02-01 08:26:02,Y,1,-73.952178955078125,40.803348541259766,-73.966522216796875,40.805744171142578,1,1.80,9,0,0.5,1.95,0,,0.3,11.75,1,1
1,2016-02-01 08:15:23,2016-02-01 08:47:47,N,1,-73.962799072265625,40.711822509765625,-73.985939025878906,40.743453979492187,1,4.40,21.5,0,0.5,5.55,0,,0.3,27.85,1,1
1,2016-02-01 08:15:22,2016-02-01 08:24:29,N,1,-73.945236206054688,40.638874053955078,-73.959693908691406,40.644882202148438,1,1.30,8,0,0.5,0,0,,0.3,8.8,2,1
1,2016-02-01 08:15:17,2016-02-01 08:19:38,N,1,-73.964897155761719,40.806812286376953,-73.969856262207031,40.799877166748047,2,.50,4.5,0,0.5,1.3,0,,0.3,6.6,1,1
1,2016-02-01 08:15:12,2016-02-01 08:51:00,N,1,-73.957649230957031,40.718002319335938,-73.92962646484375,40.675880432128906,1,4.40,23,0,0.5,4.75,0,,0.3,28.55,1,1
1,2016-02-01 08:15:03,2016-02-01 08:22:42,N,1,-73.855125427246094,40.840465545654297,-73.845451354980469,40.843803405761719,1,.70,6.5,0,0.5,0,0,,0.3,7.3,2,1
1,2016-02-01 08:14:58,2016-02-01 08:52:40,N,1,-73.967948913574219,40.688625335693359,-73.984992980957031,40.753757476806641,1,6.00,27,0,0.5,5.55,0,,0.3,33.35,1,1
1,2016-02-01 08:14:52,2016-02-01 08:41:27,N,1,-73.97308349609375,40.693313598632813,-74.005241394042969,40.74102783203125,1,5.00,21.5,0,0.5,2.2,0,,0.3,24.5,1,1
1,2016-02-01 08:14:40,2016-02-01 08:55:32,N,1,-73.8076171875,40.7001953125,-73.872451782226563,40.774528503417969,1,7.60,33,0.5,0.5,5,0,,0.3,39.3,1,1
1,2016-02-01 08:14:39,2016-02-01 08:21:38,N,1,-73.979278564453125,40.660804748535156,-73.978248596191406,40.671241760253906,1,1.20,7,0,0.5,0,0,,0.3,7.8,2,1
1,2016-02-01 08:14:39,2016-02-01 08:29:43,N,1,-73.957633972167969,40.717765808105469,-73.894767761230469,40.748081207275391,1,4.60,16,0,0.5,0,0,,0.3,16.8,2,1
1,2016-02-01 08:14:28,2016-02-01 08:45:24,N,1,-73.975845336914063,40.671707153320313,-74.007987976074219,40.745399475097656,1,6.80,26.5,0,0.5,5.91,5.54,,0.3,38.75,1,1
1,2016-02-01 08:14:21,2016-02-01 08:22:16,N,1,-73.95574951171875,40.803806304931641,-73.937492370605469,40.812797546386719,1,1.50,8,0,0.5,0,0,,0.3,8.8,2,1
1,2016-02-01 08:14:19,2016-02-01 08:32:20,N,1,-73.949485778808594,40.785331726074219,-73.973480224609375,40.757972717285156,1,2.50,13.5,0,0.5,2,0,,0.3,16.3,1,1
1,2016-02-01 08:14:19,2016-02-01 08:43:16,N,1,-73.954582214355469,40.821182250976562,-73.970222473144531,40.755046844482422,2,8.20,27,0,0.5,2.7,0,,0.3,30.5,1,1
1,2016-02-01 08:14:04,2016-02-01 08:28:03,N,1,-73.993911743164062,40.681667327880859,-74.013206481933594,40.715049743652344,1,3.50,13.5,0,0.5,4.25,0,,0.3,18.55,1,1
1,2016-02-01 08:13:41,2016-02-01 08:18:26,N,1,-73.971847534179687,40.693164825439453,-73.973716735839844,40.686031341552734,1,.60,5,0,0.5,1.15,0,,0.3,6.95,1,1
1,2016-02-01 08:13:25,2016-02-01 08:23:52,N,1,-73.94287109375,40.790153503417969,-73.950485229492187,40.771530151367188,1,1.60,8.5,0,0.5,0,0,,0.3,9.3,2,1
